employee_id,team_id,department,role_function,manager_id,location_site,period_date,hours_planned,hours_worked,overtime_hours,absence_days,output_units,unit_value,quality_score,error_count,attrition_flag,date_joined,date_left,engagement_score,total_labor_cost,headcount
EMP0497,Team A,Sales,Account Executive,EMP0351,Remote,2025-10-01,160.0,162.9,2.9,1.1,13,2000,76.0,0,False,2025-09-17,,4.07,6690.0,1
EMP0340,Team E,Engineering,Data Engineer,EMP0100,Remote,2026-05-01,160.0,158.9,0.0,0.4,20,0,65.8,6,False,2021-11-09,,2.53,9534.0,1
EMP0117,Team C,Operations,Ops Analyst,EMP0033,HQ,2025-11-01,160.0,168.5,8.5,1.6,76,40,76.8,0,False,2022-11-16,,3.68,5800.0,1
EMP0075,Team H,Support,Support Agent,EMP0420,Remote,2025-10-01,160.0,159.6,0.2,2.7,125,50,81.9,0,False,2021-11-30,,4.63,3837.6,1
EMP0245,Team H,Engineering,QA Engineer,EMP0351,HQ,2025-11-01,160.0,158.9,3.4,0.4,15,0,86.0,0,False,2024-08-16,,2.93,6888.0,1
EMP0330,Team E,Engineering,DevOps Engineer,EMP0351,,2026-03-01,160.0,142.0,7.3,2.1,18,0,87.1,0,False,2025-07-30,,4.19,8871.1,1
EMP0049,Team C,Sales,SDR,EMP0225,Remote,2026-04-01,160.0,160.3,7.4,0.3,21,150,31.2,10,False,2025-12-31,,3.02,4799.2,1
EMP0342,Team G,Sales,SDR,EMP0061,Branch-West,2026-05-01,160.0,162.5,2.5,0.7,38,150,81.3,3,False,2023-09-30,,2.85,4655.0,1
EMP0208,Team H,Support,Support Lead,EMP0376,HQ,2026-07-01,160.0,162.2,2.2,0.7,103,60,96.5,1,False,2022-11-05,,3.02,5627.0,1
EMP0068,Team J,Operations,Ops Analyst,EMP0434,Remote,2026-07-01,160.0,145.7,13.9,2.4,55,40,66.0,1,False,2024-04-02,,4.65,5329.6,1
EMP0110,Team B,Engineering,DevOps Engineer,EMP0217,HQ,2026-05-01,160.0,167.7,21.4,0.4,18,0,57.8,1,False,2024-10-04,,3.09,11588.4,1
EMP0227,TEAM A,Marketing,Content Creator,EMP0351,Remote,2026-07-01,160.0,157.6,1.5,0.2,16,150,68.4,0,False,2022-02-05,,2.88,4795.5,1
EMP0213,Team E,Support,Support Agent,EMP0077,HQ,2026-08-01,160.0,137.0,5.9,3.0,101,50,93.2,2,False,2025-08-12,,4.05,3500.4,1
EMP0016,Team H,Engineering,QA Engineer,EMP0147,HQ,2025-11-01,160.0,164.3,4.3,2.7,35,0,83.8,0,False,2024-01-03,,3.44,7171.5,1
EMP0154,Team C,Sales,SDR,EMP0344,HQ,2026-08-01,160.0,164.3,10.3,2.2,48,150,48.2,0,False,2025-09-02,,3.44,5033.0,1
EMP0301,Team I,Engineering,DevOps Engineer,EMP0450,Remote,2026-07-01,160.0,163.0,4.5,1.0,11,0,57.6,0,False,2022-05-13,,3.33,9845.5,1
EMP0275,Team E,Sales,Sales Manager,EMP0420,Remote,2026-04-01,160.0,137.6,2.9,1.8,11,2500,57.4,0,False,2025-03-15,,3.66,7381.4,1
EMP0287,Team D,Sales,SDR,EMP0033,Branch-West,2026-03-01,160.0,154.3,11.8,3.5,46,150,72.9,6,False,2025-01-08,,3.55,4816.0,1
EMP0042,Team D,Sales,Account Executive,EMP0187,,2025-11-01,160.0,162.3,2.3,0.4,20,2000,52.3,3,False,2025-05-18,,3.65,6630.0,1
EMP0492,Team B,Support,Support Lead,EMP0162,Remote,2025-11-01,160.0,148.4,22.0,1.9,64,60,96.3,3,False,2022-05-06,,3.04,6167.6,1
EMP0173,Team B,  Sales  ,SDR,EMP0392,Remote,2026-08-01,160.0,161.7,1.7,1.5,51,150,48.2,1,False,2021-08-26,,4.11,4599.0,1
EMP0448,Team G,Operations,Ops Analyst,EMP0167,HQ,2025-12-01,160.0,160.0,15.1,4.1,38,40,81.7,2,False,2024-02-09,,3.34,5844.8,1
EMP0350,Team B,Support,Support Lead,EMP0167,HQ,2025-10-01,160.0,161.0,1.0,2.7,91,60,26.1,0,False,2024-03-17,,3.77,5525.0,1
EMP0480,Team J,  Sales  ,SDR,,Branch-East,2025-11-01,160.0,152.4,8.0,1.3,36,150,71.6,5,False,2023-06-10,,3.61,4603.2,1
EMP0023,Team E,Engineering,QA Engineer,EMP0147,Remote,2026-08-01,160.0,152.8,2.0,0.7,30,0,77.7,2,False,2023-07-21,,3.47,6543.6,1
EMP0203,Team B,Engineering,DevOps Engineer,EMP0280,Remote,2026-02-01,160.0,150.8,3.1,0.7,13,0,94.2,1,False,2025-08-16,,,9016.1,1
EMP0172,Team G,Engineering,Developer,EMP0071,Branch-West,2026-04-01,160.0,162.1,7.8,0.4,20,0,91.5,2,False,2024-03-09,,3.15,9559.0,1
EMP0170,Team B,Sales,Sales Manager,EMP0210,,2025-12-01,160.0,162.4,4.5,5.9,8,2500,74.7,1,False,2025-03-25,,3.09,8795.8,1
EMP0010,Team I,Support,Support Lead,EMP0259,Branch-West,2026-08-01,160.0,167.6,7.6,1.4,101,60,63.6,4,False,2022-08-16,,4.23,6086.0,1
EMP0050,Team J,Engineering,Developer,EMP0471,Branch-East,2026-06-01,160.0,149.0,20.9,0.8,23,0,71.3,0,False,2022-02-18,,4.25,9919.25,1
EMP0412,Team G,Marketing,Content Creator,EMP0303,Branch-East,2025-10-01,160.0,152.4,1.8,1.0,25,150,71.2,0,True,2025-02-28,2026-06-23,4.39,4653.0,1
EMP0342,Team G,Sales,SDR,EMP0061,Branch-West,2026-03-01,160.0,161.0,1.0,0.4,45,150,80.0,1,False,2023-09-30,,2.39,4550.0,1
EMP0286,Team J,Engineering,QA Engineer,EMP0162,Remote,2026-04-01,160.0,150.4,8.6,0.1,17,0,68.8,0,False,2021-12-01,,3.32,6858.6,1
EMP0379,Team D,Operations,Ops Analyst,EMP0471,Remote,2025-12-01,160.0,162.5,24.4,0.2,37,40,66.9,1,False,2025-03-21,,3.32,6371.2,1
EMP0350,Team B,Support,Support Lead,EMP0167,HQ,2026-05-01,160.0,170.4,13.0,1.9,105,60,54.4,0,False,2024-03-17,,2.18,6456.6,1
EMP0217,Team I,Sales,Account Executive,EMP0480,Branch-West,2026-04-01,160.0,161.3,1.3,2.5,13,2000,61.6,1,False,2025-12-23,,4.63,6530.0,1
EMP0030,Team J,Engineering,Data Engineer,EMP0420,,2026-04-01,160.0,161.1,1.1,0.3,18,0,91.1,0,False,2023-02-25,,3.81,9765.0,1
EMP0364,Team H,Sales,Account Executive,EMP0243,,2025-12-01,160.0,168.0,8.0,0.8,13,2000,61.3,0,False,2023-08-09,,3.4,7200.0,1
EMP0077,Team H,Operations,Ops Analyst,EMP0480,Branch-East,2025-10-01,160.0,160.1,0.1,1.5,51,40,96.2,5,True,2025-02-13,2026-01-10,3.56,5128.0,1
EMP0017,Team D,Sales,SDR,EMP0102,HQ,2026-03-01,160.0,149.9,12.7,1.2,47,150,84.2,1,False,2025-08-06,,3.53,4730.6,1
EMP0142,Team E,Engineering,Developer,EMP0457,Branch-West,2026-05-01,160.0,167.9,7.9,0.3,17,0,68.7,0,False,2025-03-29,,3.13,9886.25,1
EMP0102,Team E,Support,Support Lead,EMP0351,HQ,2026-03-01,160.0,158.7,1.6,0.3,109,60,72.5,1,False,2024-04-04,,3.04,5477.4,1
EMP0097,Team C,Sales,Account Executive,EMP0280,HQ,2025-12-01,160.0,164.4,4.4,0.5,10,2000,43.8,0,False,2024-09-29,,3.73,6840.0,1
EMP0056,Team B,Marketing,Content Creator,EMP0301,Remote,2026-01-01,160.0,159.8,1.8,3.6,20,150,87.7,0,False,2024-02-12,,4.03,4875.0,1
EMP0171,Team G,Support,Support Agent,EMP0303,HQ,2026-08-01,160.0,166.7,6.7,2.5,117,50,87.7,2,False,2022-11-02,,2.64,4242.0,1
EMP0137,Team C,Sales,Sales Manager,EMP0193,Branch-West,2026-03-01,160.0,161.7,1.7,,11,2500,85.6,5,False,2022-03-30,,4.01,8541.0,1
EMP0367,Team I,Marketing,Content Creator,EMP0061,Remote,2026-05-01,160.0,160.5,0.5,2.9,21,150,74.6,1,False,2021-09-10,,3.55,4837.5,1
EMP0307,Team B,Sales,Sales Manager,EMP0320,,2026-01-01,160.0,162.0,2.0,6.2,10,2500,79.9,0,False,2022-12-08,,3.23,8580.0,1
EMP0462,Team D,Support,Support Agent,EMP0296,,2025-11-01,160.0,161.2,1.2,1.6,149,50,79.6,1,False,2025-11-23,,3.42,3912.0,1
EMP0188,Team E,Sales,Account Executive,EMP0420,Branch-East,2026-07-01,160.0,163.0,3.2,0.2,16,2000,72.8,0,False,2025-09-26,,2.68,6712.0,1
EMP0107,Team F,Sales,Sales Manager,EMP0420,Remote,2025-11-01,160.0,158.0,4.8,0.5,11,2500,72.5,0,False,2024-02-15,,3.35,8590.4,1
EMP0483,Team J,Sales,Account Executive,EMP0392,HQ,2026-07-01,160.0,161.8,1.8,0.7,19,2000,64.5,3,True,2024-12-03,2026-07-15,3.37,6580.0,1
EMP0372,Team H,Engineering,Data Engineer,EMP0301,HQ,2026-01-01,160.0,161.6,1.6,1.6,15,0,96.1,4,False,2022-07-05,,4.03,9840.0,1
EMP0106,Team J,Engineering,Data Engineer,EMP0309,HQ,2026-03-01,160.0,151.6,7.8,2.4,16,0,42.8,0,False,2025-03-01,,4.33,9798.0,1
EMP0101,Team A,Engineering,QA Engineer,EMP0457,Branch-East,2026-06-01,160.0,161.2,1.2,0.8,31,0,50.7,2,False,2021-09-29,,4.41,6846.0,1
EMP0404,Team I,Operations,Ops Analyst,EMP0167,HQ,2025-11-01,160.0,156.2,2.4,1.8,53,40,73.9,0,False,2022-03-08,,3.73,5113.6,1
EMP0254,Team C,Sales,SDR,EMP0392,Remote,2025-12-01,160.0,162.9,6.9,0.3,25,150,93.1,0,False,2024-03-23,,3.84,4851.0,1
EMP0404,Team I,Operations,Ops Analyst,EMP0167,HQ,2025-10-01,160.0,172.9,14.5,2.2,81,40,76.3,7,False,2022-03-08,,4.59,6228.8,1
EMP0198,Team C,Marketing,Content Creator,EMP0162,Remote,2026-02-01,160.0,151.1,7.0,1.3,20,150,65.3,4,False,2024-12-29,,,4848.0,1
EMP0023,Team E,Engineering,QA Engineer,EMP0147,Remote,2025-09-01,160.0,149.3,18.5,1.8,32,0,93.6,15,False,2023-07-21,,2.94,7436.1,1
EMP0277,Team A,Operations,Ops Coordinator,EMP0480,HQ,2026-03-01,160.0,157.3,0.4,5.0,79,35,85.2,4,False,2024-02-14,,3.8,4263.3,1
EMP0008,Team B,Marketing,Marketing Specialist,EMP0457,Remote,2026-03-01,160.0,138.3,3.6,2.0,10,300,80.3,0,False,2025-09-18,,3.36,4742.1,1
EMP0424,Team G,Sales,Account Executive,EMP0471,Remote,2026-07-01,160.0,151.6,2.0,0.1,16,2000,65.2,2,False,2025-03-25,,3.71,6184.0,1
EMP0056,Team B,Marketing,Content Creator,EMP0301,Remote,2026-03-01,160.0,159.6,3.7,6.2,19,150,42.3,0,False,2024-02-12,,3.54,4954.5,1
EMP0161,Team E,Sales,Account Executive,EMP0277,Branch-West,2025-11-01,160.0,162.8,4.1,0.0,17,2000,73.7,0,False,2021-09-11,,2.59,6758.0,1
EMP0361,Team C,Sales,Account Executive,EMP0210,HQ,2026-04-01,160.0,166.0,26.7,0.3,10,2000,39.5,10,True,2024-03-19,2026-06-26,2.54,8242.0,1
EMP0234,Team F,Sales,Sales Manager,EMP0280,Remote,2025-09-01,160.0,155.3,1.1,6.9,12,2500,82.4,5,False,2022-08-23,,3.74,8161.4,1
EMP0463,Team F,Operations,Ops Analyst,EMP0453,HQ,2026-02-01,160.0,160.6,0.6,5.4,48,40,70.0,1,False,2025-07-16,,2.13,5168.0,1
EMP0432,Team A,Operations,Ops Coordinator,EMP0453,Remote,2026-06-01,160.0,147.9,8.9,0.5,61,35,72.3,0,False,2024-03-12,,3.98,4353.75,1
EMP0337,Team I,Operations,Ops Coordinator,EMP0243,Remote,2026-05-01,160.0,168.9,9.4,3.0,68,35,62.9,1,False,2022-12-31,,3.6,4941.0,1
EMP0470,Team F,Marketing,Marketing Specialist,EMP0450,Branch-West,2026-08-01,160.0,155.4,1.0,0.5,13,300,54.2,2,False,2022-02-18,,3.63,5177.7,1
EMP0251,Team A,Engineering,DevOps Engineer,EMP0147,HQ,2026-01-01,160.0,146.9,5.1,1.5,16,0,79.0,1,False,2023-11-18,,2.32,8963.9,1
EMP0391,Team G,Marketing,Marketing Specialist,EMP0293,Remote,2025-12-01,160.0,156.7,2.1,2.3,6,300,79.9,2,False,2023-05-28,,3.54,5275.05,1
EMP0234,Team F,Sales,Sales Manager,EMP0280,Remote,2026-08-01,160.0,151.8,5.3,4.4,11,2500,62.6,5,False,2022-08-23,,4.39,8307.0,1
EMP0495,Team E,Sales,Sales Manager,EMP0476,Remote,2025-10-01,160.0,157.4,3.9,1.0,9,2500,62.8,1,False,2025-09-22,,3.66,8489.0,1
EMP0041,Team D,Engineering,DevOps Engineer,EMP0162,,2026-05-01,160.0,166.0,7.0,0.4,19,0,70.3,3,False,2022-04-09,,4.47,10237.0,1
EMP0161,Team E,Sales,Account Executive,EMP0277,,2026-02-01,160.0,163.3,3.3,3.7,14,2000,53.8,7,False,2021-09-11,,3.01,6730.0,1
EMP0199,Team B,Marketing,Marketing Specialist,EMP0450,,2025-11-01,160.0,166.0,6.0,0.4,13,300,78.5,0,True,2025-10-07,2025-11-18,2.44,5775.0,1
EMP0362,Team D,Support,Support Agent,EMP0033,Remote,2026-07-01,160.0,161.7,2.9,,86,50,79.5,0,False,2025-10-15,,3.97,3985.2,1
EMP0145,Team E,Engineering,QA Engineer,EMP0453,Branch-East,2026-05-01,160.0,160.2,0.2,3.5,27,0,88.6,0,False,2024-09-23,,3.84,6741.0,1
EMP0159,Team E,Engineering,DevOps Engineer,EMP0185,Remote,2026-06-01,160.0,158.5,1.6,2.4,12,0,64.1,2,False,2024-07-19,,3.7,9332.2,1
EMP0292,Team A,Engineering,QA Engineer,EMP0225,Remote,2026-06-01,160.0,162.9,2.9,0.5,27,0,93.9,0,False,2023-01-21,,4.08,7024.5,1
EMP0122,Team H,Marketing,Content Creator,EMP0471,Branch-West,2026-06-01,160.0,160.0,0.0,1.2,22,150,84.2,0,False,2022-09-10,,4.4,4800.0,1
EMP0227,Team A,Marketing,Content Creator,EMP0351,Remote,2026-04-01,160.0,151.1,7.9,1.8,22,150,73.3,1,False,2022-02-05,,3.09,4888.5,1
EMP0078,Team B,Engineering,DevOps Engineer,EMP0293,Remote,2026-07-01,160.0,160.3,0.3,0.2,13,0,65.7,3,False,2025-09-04,,,9323.5,1
EMP0082,Team A,Support,Support Lead,EMP0251,Remote,2025-09-01,160.0,159.2,6.6,0.8,102,60,82.0,4,False,2022-02-09,,4.32,5749.4,1
EMP0008,Team B,Marketing,Marketing Specialist,EMP0457,Remote,2026-08-01,160.0,157.5,8.4,2.7,10,300,85.4,5,False,2025-09-18,,3.6,5613.3,1
EMP0273,Team E,Marketing,Content Creator,EMP0438,Branch-West,2026-04-01,160.0,164.0,10.4,1.1,17,150,64.3,0,False,2025-06-28,,3.97,5388.0,1
EMP0386,Team H,operations,Ops Coordinator,EMP0259,HQ,2026-02-01,160.0,165.3,5.3,0.2,90,35,85.9,1,False,2023-10-22,,4.18,4677.75,1
EMP0222,Team I,Sales,SDR,EMP0218,Branch-East,2026-03-01,160.0,152.9,12.4,0.4,41,150,83.2,3,False,2023-02-12,,3.47,4802.0,1
EMP0229,Team C,Marketing,Marketing Specialist,EMP0449,HQ,2026-03-01,160.0,153.4,4.5,0.1,10,300,88.6,5,False,2024-07-13,,3.54,5284.95,1
EMP0477,Team F,Engineering,DevOps Engineer,EMP0102,Remote,2026-04-01,160.0,160.4,7.0,0.2,15,0,65.2,0,False,2025-09-07,,4.18,9912.2,1
EMP0051,Team G,Marketing,Marketing Specialist,EMP0392,Remote,2025-10-01,160.0,155.7,1.1,4.0,16,300,79.8,3,False,2024-07-19,,3.22,5192.55,1
EMP0357,Team D,Engineering,Developer,EMP0309,HQ,2025-11-01,160.0,163.2,3.2,3.1,13,0,63.5,0,False,2025-04-27,,3.58,9240.0,1
EMP0268,Team G,Support,Support Lead,EMP0147,HQ,2025-11-01,160.0,158.6,11.2,2.0,93,60,49.9,0,False,2022-06-15,,3.2,5963.6,1
EMP0224,Team F,Sales,SDR,EMP0243,HQ,2026-01-01,160.0,161.6,4.2,5.6,53,150,75.8,7,True,2021-12-19,2026-02-17,2.86,4701.2,1
EMP0070,Team J,Marketing,Content Creator,EMP0006,Branch-West,2026-07-01,160.0,157.4,2.5,0.6,19,150,64.5,0,False,2025-03-03,,3.58,4834.5,1
EMP0003,Team A,Operations,Ops Analyst,EMP0225,Remote,2026-05-01,160.0,147.5,22.2,3.4,57,40,62.4,1,False,2023-03-15,,4.5,5785.6,1
EMP0297,Team F,Operations,Ops Coordinator,EMP0185,HQ,2026-06-01,160.0,160.4,3.8,0.5,54,35,64.4,0,False,2022-01-30,,3.74,4484.7,1
EMP0092,Team J,Support,Support Lead,EMP0333,Remote,2025-12-01,160.0,153.0,2.8,0.8,82,60,80.1,4,False,2023-04-05,,3.56,5344.8,1
EMP0379,Team D,Operations,Ops Analyst,EMP0471,Remote,2026-08-01,160.0,158.2,12.4,5.6,72,40,42.0,4,False,2025-03-21,,3.39,5657.6,1
EMP0195,Team I,Sales,Account Executive,EMP0453,HQ,2026-03-01,160.0,160.4,0.6,0.6,17,2000,27.4,3,False,2025-07-05,,4.4,6452.0,1
EMP0381,Team B,Engineering,Developer,EMP0259,Remote,2026-01-01,160.0,158.1,8.3,0.9,17,0,73.7,0,False,2025-04-07,,3.03,9380.25,1
EMP0299,Team A,Support,Support Lead,EMP0035,HQ,2026-04-01,160.0,159.4,23.7,0.8,81,60,94.4,1,False,2024-09-07,,4.27,6628.3,1
EMP0285,Team C,Sales,Account Executive,EMP0035,HQ,2026-07-01,160.0,164.0,4.0,5.9,14,2000,67.6,1,False,2024-09-15,,3.55,6800.0,1
EMP0308,Team B,Sales,Sales Manager,EMP0177,HQ,2026-02-01,160.0,163.3,9.6,0.7,10,2500,95.7,2,False,2025-11-07,,3.55,9240.4,1
EMP0333,Team A,Engineering,QA Engineer,EMP0480,Branch-West,2026-02-01,160.0,163.6,9.0,1.1,27,0,91.3,0,False,2022-09-22,,3.89,7438.2,1
EMP0324,Team J,Engineering,QA Engineer,EMP0392,Remote,2026-05-01,160.0,167.7,11.1,2.8,22,0,87.7,0,False,2023-03-24,,4.07,7742.7,1
EMP0330,Team E,Engineering,DevOps Engineer,EMP0351,Branch-East,2026-08-01,160.0,167.0,7.0,,15,0,47.9,1,False,2025-07-30,,3.4,10295.0,1
EMP0250,Team A,Operations,Ops Analyst,EMP0225,HQ,2025-12-01,160.0,157.5,10.6,0.0,61,40,88.4,2,False,2022-08-19,,2.83,5548.8,1
EMP0460,Team F,Engineering,Data Engineer,EMP0071,HQ,2026-02-01,160.0,166.5,6.5,2.6,12,0,78.9,5,False,2022-10-30,,3.61,10575.0,1
EMP0349,Team G,Sales,Account Executive,EMP0047,Branch-West,2026-07-01,160.0,164.4,4.4,0.3,14,2000,85.1,2,False,2021-12-13,,4.3,6840.0,1
EMP0488,Team I,Engineering,QA Engineer,EMP0480,HQ,2026-02-01,160.0,157.5,29.1,1.0,32,0,,0,False,2023-12-14,,3.42,8448.3,1
EMP0172,Team G,Engineering,Developer,EMP0071,Branch-West,2025-10-01,160.0,149.0,3.3,1.4,14,0,71.1,0,False,2024-03-09,,4.04,8467.25,1
EMP0479,Team C,Marketing,Content Creator,EMP0450,HQ,2026-02-01,160.0,161.6,1.7,1.4,21,150,52.0,0,False,2025-12-24,,4.67,4924.5,1
EMP0258,Team I,Support,Support Agent,EMP0210,Branch-East,2026-06-01,160.0,144.2,10.4,6.6,105,50,64.1,5,False,2025-07-29,,3.08,3835.2,1
EMP0180,Team G,Engineering,QA Engineer,EMP0199,Branch-West,2026-05-01,160.0,164.6,5.7,0.7,24,0,73.6,0,False,2024-11-03,,3.04,7272.3,1
EMP0138,Team F,SUPPORT,Support Lead,EMP0245,Remote,2026-06-01,160.0,164.1,4.1,1.6,60,60,71.6,5,False,2024-02-26,,3.67,5788.5,1
EMP0339,Team H,Sales,Account Executive,EMP0035,HQ,2026-04-01,160.0,163.6,3.6,2.1,19,2000,84.0,0,False,2024-04-19,,3.26,6760.0,1
EMP0196,Team B,Sales,Sales Manager,EMP0245,HQ,2025-12-01,160.0,166.5,8.5,2.0,8,2500,58.4,1,False,2024-03-06,,3.99,9321.0,1
EMP0195,Team I,Sales,Account Executive,EMP0453,HQ,2026-02-01,160.0,150.2,1.2,0.2,14,2000,69.4,0,False,2025-07-05,,3.12,6080.0,1
EMP0493,Team J,Engineering,Developer,EMP0033,Branch-West,2026-03-01,160.0,141.3,17.8,0.2,17,0,81.7,0,False,2024-12-30,,2.95,9240.0,1
EMP0393,Team J,Sales,Account Executive,EMP0476,HQ,2025-12-01,160.0,148.3,2.1,3.0,11,2000,90.2,1,False,2024-08-12,,2.94,6058.0,1
EMP0112,Team A,Engineering,Developer,EMP0471,HQ,2026-05-01,160.0,161.0,1.0,1.2,16,0,49.0,4,False,2025-06-20,,3.64,8937.5,1
EMP0078,Team B,Engineering,DevOps Engineer,EMP0293,Remote,2026-08-01,160.0,160.1,0.1,4.1,15,0,75.9,3,False,2025-09-04,,3.85,9294.5,1
EMP0258,Team I,Support,Support Agent,EMP0210,Branch-East,2026-08-01,160.0,163.3,3.3,1.4,110,50,,1,False,2025-07-29,,3.86,4038.0,1
EMP0191,Team E,Engineering,QA Engineer,EMP0147,Remote,2025-09-01,160.0,159.8,4.9,1.6,29,0,74.5,2,False,2023-11-14,,3.38,7020.3,1
EMP0393,Team J,Sales,Account Executive,EMP0476,HQ,2026-02-01,160.0,161.8,1.8,1.2,19,2000,87.0,1,False,2024-08-12,,,6580.0,1
EMP0165,Team C,Engineering,DevOps Engineer,EMP0071,Remote,2026-04-01,160.0,176.3,19.1,0.2,9,0,50.1,9,True,2023-06-22,2026-05-31,3.93,11887.1,1
